Date,Centre_Name,Commodity_Name,Price
30-01-19,SHILLONG,Wheat,
30-01-19,AIZWAL,Wheat,
30-01-19,KOHIMA,Wheat,
30-01-19,AGARTALA,Wheat,
30-01-19,BENGALURU,Wheat,1600.0
30-01-19,T.PURAM,Wheat,
30-01-19,CHENNAI,Wheat,
30-01-19,HYDERABAD,Wheat,
02-02-19,CHANDIGARH,Wheat,
02-02-19,DELHI,Wheat,1180.0
02-02-19,SHIMLA,Wheat,
02-02-19,SRINAGAR,Wheat,
02-02-19,JAMMU,Wheat,
02-02-19,AMRITSAR,Wheat,1000.0
02-02-19,LUDHIANA,Wheat,1100.0
02-02-19,LUCKNOW,Wheat,1120.0
02-02-19,DEHRADUN,Wheat,
02-02-19,RAIPUR,Wheat,
02-02-19,AHMEDABAD,Wheat,
02-02-19,BHOPAL,Wheat,1100.0
02-02-19,MUMBAI,Wheat,
02-02-19,JAIPUR,Wheat,1200.0
02-02-19,PATNA,Wheat,
02-02-19,RANCHI,Wheat,
02-02-19,BHUBANESHWAR,Wheat,1220.0
02-02-19,KOLKATA,Wheat,
02-02-19,GUWAHATI,Wheat,
02-02-19,SHILLONG,Wheat,
02-02-19,AIZWAL,Wheat,
02-02-19,KOHIMA,Wheat,
02-02-19,AGARTALA,Wheat,
02-02-19,BENGALURU,Wheat,1600.0
02-02-19,T.PURAM,Wheat,
02-02-19,CHENNAI,Wheat,
02-02-19,HYDERABAD,Wheat,
03-02-19,CHANDIGARH,Wheat,
03-02-19,DELHI,Wheat,1185.0
03-02-19,SHIMLA,Wheat,
03-02-19,SRINAGAR,Wheat,
03-02-19,JAMMU,Wheat,
03-02-19,AMRITSAR,Wheat,1000.0
03-02-19,LUDHIANA,Wheat,1100.0
03-02-19,LUCKNOW,Wheat,1120.0
03-02-19,DEHRADUN,Wheat,
03-02-19,RAIPUR,Wheat,
03-02-19,AHMEDABAD,Wheat,
03-02-19,BHOPAL,Wheat,
03-02-19,MUMBAI,Wheat,
03-02-19,JAIPUR,Wheat,1200.0
03-02-19,PATNA,Wheat,
03-02-19,RANCHI,Wheat,
03-02-19,BHUBANESHWAR,Wheat,1220.0
03-02-19,KOLKATA,Wheat,
03-02-19,GUWAHATI,Wheat,
03-02-19,SHILLONG,Wheat,
03-02-19,AIZWAL,Wheat,
03-02-19,KOHIMA,Wheat,
03-02-19,AGARTALA,Wheat,
03-02-19,BENGALURU,Wheat,1600.0
03-02-19,T.PURAM,Wheat,
03-02-19,CHENNAI,Wheat,
03-02-19,HYDERABAD,Wheat,
04-02-19,CHANDIGARH,Wheat,
04-02-19,DELHI,Wheat,1185.0
04-02-19,SHIMLA,Wheat,
04-02-19,SRINAGAR,Wheat,
04-02-19,JAMMU,Wheat,
04-02-19,AMRITSAR,Wheat,1075.0
04-02-19,LUDHIANA,Wheat,1100.0
04-02-19,LUCKNOW,Wheat,
04-02-19,DEHRADUN,Wheat,1170.0
04-02-19,RAIPUR,Wheat,
04-02-19,AHMEDABAD,Wheat,
04-02-19,BHOPAL,Wheat,1100.0
04-02-19,MUMBAI,Wheat,
04-02-19,JAIPUR,Wheat,1200.0
04-02-19,PATNA,Wheat,
04-02-19,RANCHI,Wheat,
04-02-19,BHUBANESHWAR,Wheat,1220.0
04-02-19,KOLKATA,Wheat,
04-02-19,GUWAHATI,Wheat,
04-02-19,SHILLONG,Wheat,
04-02-19,AIZWAL,Wheat,
04-02-19,KOHIMA,Wheat,
04-02-19,AGARTALA,Wheat,
04-02-19,BENGALURU,Wheat,1600.0
04-02-19,T.PURAM,Wheat,
04-02-19,CHENNAI,Wheat,1540.0
04-02-19,HYDERABAD,Wheat,
05-02-19,CHANDIGARH,Wheat,
05-02-19,DELHI,Wheat,1185.0
05-02-19,SHIMLA,Wheat,
05-02-19,SRINAGAR,Wheat,
05-02-19,JAMMU,Wheat,
05-02-19,AMRITSAR,Wheat,1075.0
05-02-19,LUDHIANA,Wheat,1100.0
05-02-19,LUCKNOW,Wheat,1120.0
05-02-19,DEHRADUN,Wheat,
05-02-19,RAIPUR,Wheat,
05-02-19,AHMEDABAD,Wheat,
05-02-19,BHOPAL,Wheat,
05-02-19,MUMBAI,Wheat,
05-02-19,JAIPUR,Wheat,
05-02-19,PATNA,Wheat,
05-02-19,RANCHI,Wheat,
05-02-19,BHUBANESHWAR,Wheat,1220.0
05-02-19,KOLKATA,Wheat,
05-02-19,GUWAHATI,Wheat,
05-02-19,SHILLONG,Wheat,
05-02-19,AIZWAL,Wheat,
05-02-19,KOHIMA,Wheat,
05-02-19,AGARTALA,Wheat,
05-02-19,BENGALURU,Wheat,1600.0
05-02-19,T.PURAM,Wheat,
05-02-19,CHENNAI,Wheat,
05-02-19,HYDERABAD,Wheat,
06-02-19,CHANDIGARH,Wheat,
06-02-19,DELHI,Wheat,1185.0
06-02-19,SHIMLA,Wheat,
06-02-19,SRINAGAR,Wheat,
06-02-19,JAMMU,Wheat,
06-02-19,AMRITSAR,Wheat,1075.0
06-02-19,LUDHIANA,Wheat,1100.0
06-02-19,LUCKNOW,Wheat,1120.0
06-02-19,DEHRADUN,Wheat,
06-02-19,RAIPUR,Wheat,
06-02-19,AHMEDABAD,Wheat,
06-02-19,BHOPAL,Wheat,1100.0
06-02-19,MUMBAI,Wheat,
06-02-19,JAIPUR,Wheat,
06-02-19,PATNA,Wheat,
06-02-19,RANCHI,Wheat,
06-02-19,BHUBANESHWAR,Wheat,1220.0
06-02-19,KOLKATA,Wheat,
06-02-19,GUWAHATI,Wheat,
06-02-19,SHILLONG,Wheat,
06-02-19,AIZWAL,Wheat,
06-02-19,KOHIMA,Wheat,
06-02-19,AGARTALA,Wheat,
06-02-19,BENGALURU,Wheat,1600.0
06-02-19,T.PURAM,Wheat,
06-02-19,CHENNAI,Wheat,
06-02-19,HYDERABAD,Wheat,
09-02-19,CHANDIGARH,Wheat,
09-02-19,DELHI,Wheat,1185.0
09-02-19,SHIMLA,Wheat,
09-02-19,SRINAGAR,Wheat,
09-02-19,JAMMU,Wheat,
09-02-19,AMRITSAR,Wheat,
09-02-19,LUDHIANA,Wheat,
09-02-19,LUCKNOW,Wheat,1120.0
09-02-19,DEHRADUN,Wheat,
09-02-19,RAIPUR,Wheat,
09-02-19,AHMEDABAD,Wheat,
